region,rest_wavelength_A,observed_wavelength_um,flux_native_display_units,flux_error_native_display_units,dq,smoothed,interpolated,rebinned
LYMAN_ALPHA_BREAK,1174.2374439931284,1.8130226135253904,21.481562393322537,20.984547778146016,0,False,False,False
LYMAN_ALPHA_BREAK,1187.0150739047194,1.8327512741088867,33.44811444370494,21.351713003660706,0,False,False,False
LYMAN_ALPHA_BREAK,1199.7325587149112,1.8523870706558228,25.198615139450883,21.222907278992704,0,False,False,False
LYMAN_ALPHA_BREAK,1212.3883542619224,1.871927618980408,14.713947484371303,20.755884544700844,0,False,False,False
LYMAN_ALPHA_BREAK,1224.9809163839705,1.8913705348968504,20.39377375067588,20.251404373013987,0,False,False,False
LYMAN_ALPHA_BREAK,1237.5091641678093,1.9107141494750977,26.679385067145184,19.609983487664184,0,False,False,False
LYMAN_ALPHA_BREAK,1249.9720939082804,1.9299569129943848,43.63593335390314,19.28619691308552,0,False,False,False
LYMAN_ALPHA_BREAK,1262.3682386516907,1.9490965604782104,26.68113541090004,20.06946938222683,0,False,False,False
N_IV,1440.1655740688502,2.2236156463623047,-11.68955230312406,22.624997639337643,0,False,False,False
N_IV,1451.4802651084149,2.2410855293273926,-16.245360726677927,22.382498040652923,0,False,False,False
N_IV,1462.7296381046117,2.2584545612335205,46.436570330156,20.9533471614002,0,False,False,False
N_IV,1473.9144651383317,2.275723934173584,6.55444173371554,21.559236597381425,0,False,False,False
N_IV,1485.0347462095745,2.292893648147583,-2.640146520742673,22.46616411144908,0,False,False,False
N_IV,1496.0923343124784,2.309966564178467,1.8620867263687615,21.705158807746805,0,False,False,False
N_IV,1507.085685285262,2.3269402980804443,9.867915690532111,21.832033129767492,0,False,False,False
N_IV,1518.0174242029536,2.3438189029693604,-23.63443960923803,20.54780910344664,0,False,False,False
N_IV,1528.8872422331974,2.3606019020080566,15.523058029200069,20.25361944102533,0,False,False,False
C_IV,1507.085685285262,2.3269402980804443,9.867915690532111,21.832033129767492,0,False,False,False
C_IV,1518.0174242029536,2.3438189029693604,-23.63443960923803,20.54780910344664,0,False,False,False
C_IV,1528.8872422331974,2.3606019020080566,15.523058029200069,20.25361944102533,0,False,False,False
C_IV,1539.6956026245275,2.3772900104522705,13.914601535200616,20.808257155937216,0,False,False,False
C_IV,1550.443895122548,2.393885374069214,11.047117862084823,20.202014610647755,0,False,False,False
C_IV,1561.1322741434365,2.410388231277466,27.8233097492116,20.783437605353186,0,False,False,False
C_IV,1572.5325117457098,2.427990198135376,9.193215117387858,20.086129011203305,0,False,False,False
C_IV,1583.098438737306,2.4443039894104004,-1.6699560117587402,20.655636197530587,0,False,False,False
C_IV,1593.6064596620868,2.4605283737182617,59.25398009349956,21.89101960489416,0,False,False,False
HEII_OIII,1604.0570377685863,2.4766640663146973,5.075607825728507,19.891361732987207,0,False,False,False
HEII_OIII,1614.4510995538742,2.4927124977111816,14.069629628378866,20.10343665105984,0,False,False,False
HEII_OIII,1624.7892626826629,2.5086746215820312,-13.227151399657052,20.091248889489314,0,False,False,False
HEII_OIII,1635.0718359873085,2.5245509147644043,43.75970733865108,21.758161030896197,0,False,False,False
HEII_OIII,1645.2997459648805,2.5403428077697754,-35.021175837757035,69.30488973443354,0,False,False,False
HEII_OIII,1655.4734558639132,2.556051015853882,-112.90957878986298,112.60142637065957,0,False,False,False
HEII_OIII,1665.5935833491192,2.57167649269104,-2.148119162983778,20.349100899658424,0,False,False,False
HEII_OIII,1675.6609005013895,2.587220430374145,23.01860775715068,20.87882172569647,0,False,False,False
HEII_OIII,1685.6760249854367,2.602683782577514,26.15391676719479,22.768727723606045,0,False,False,False
HEII_OIII,1695.639420049796,2.6180672645568848,38.21236251196911,25.93574994931674,0,False,False,False
N_III,1705.5518577753573,2.633372068405152,7.342781167832928,21.5691696102971,0,False,False,False
N_III,1715.4138014106557,2.648598909378052,3.9556782667672703,21.4083651948074,0,False,False,False
N_III,1725.2258686204032,2.6637487411499023,55.21533353800816,22.66557564481276,0,False,False,False
N_III,1734.988522653135,2.6788222789764404,25.674933946815223,21.701505732218276,0,False,False,False
N_III,1744.7025355897417,2.693820714950561,14.76537957608459,21.518236547892617,0,False,False,False
N_III,1754.3685250949366,2.708745002746582,-10.35957634490472,21.4641549990608,0,False,False,False
N_III,1763.9868000010754,2.72359561920166,-37.98828182335654,23.13398219805153,0,False,False,False
N_III,1773.5579779728707,2.7383735179901123,-14.847405157017995,22.821271265137334,0,False,False,False
N_III,1783.0826766750356,2.753079652786255,-11.248754179260056,23.69695469283395,0,False,False,False
N_III,1792.5613593561045,2.767714738845825,13.140163289818352,25.008667441614115,0,False,False,False
C_III,1858.3355481142826,2.869270086288452,4.49956287915948,23.523511482541323,0,False,False,False
C_III,1867.4621619091133,2.883361577987671,-25.7441932836404,24.209917478625957,0,False,False,False
C_III,1876.5473921681933,2.8973891735076904,5.086807989826139,25.590619081895102,0,False,False,False
C_III,1885.5921653885916,2.9113543033599854,22.247105492538992,27.06818735169232,0,False,False,False
C_III,1894.5966359864863,2.9252572059631348,24.571939411616984,22.97989531100673,0,False,False,False
C_III,1903.5606495456996,2.93909764289856,31.642521339631173,23.780520887290137,0,False,False,False
C_III,1912.4849781471216,2.9528768062591557,16.319956386256496,24.50459506796944,0,False,False,False
C_III,1921.3705482878215,2.9665961265563965,57.00644510198913,25.11362283857644,0,False,False,False
C_III,1930.2178232163346,2.9802563190460205,33.54745528544919,23.10224621591121,0,False,False,False
C_III,1939.0263396841258,2.99385666847229,67.14866133188906,25.09566467686957,0,False,False,False
C_III,1947.796869772086,3.0073983669281006,16.98669151694215,25.762371522523846,0,False,False,False
